cell_id,B2_mean,B2_std,B3_mean,B3_std,B4_mean,B4_std,B8_mean,B8_std,NDVI_mean,NDVI_std,NDWI_mean,NDWI_std,EVI_mean,EVI_std,GNDVI_mean,GNDVI_std,comp_built_up,comp_water,comp_vegetation,comp_other
C0000218,0.046710558235645294,0.02185811474919319,0.06649667024612427,0.022611232474446297,0.06075889244675636,0.034795504063367844,0.3420200049877167,0.04972827434539795,0.6932623982429504,0.18477670848369598,-0.667439877986908,0.13136522471904755,0.5213012099266052,0.1529834270477295,0.667438268661499,0.13136497139930725,0.0,0.0,0.9,0.09999999999999998
C0000219,0.05031521990895271,0.022345155477523804,0.07804891467094421,0.025158951058983803,0.0704217404127121,0.03871313855051994,0.3645809292793274,0.04011181369423866,0.6798457503318787,0.17078182101249695,-0.6457108855247498,0.12149269133806229,0.5251855254173279,0.1347428411245346,0.6457093954086304,0.1214924156665802,0.0,0.0,0.92,0.07999999999999996
C0000220,0.035729002207517624,0.009007955901324749,0.06220199912786484,0.014105651527643204,0.04524099826812744,0.01539785135537386,0.3597089648246765,0.03491659834980965,0.7741873860359192,0.08017778396606445,-0.7027255892753601,0.0742051973938942,0.5764155983924866,0.08067700266838074,0.7027239799499512,0.07420507073402405,0.0,0.0,1.0,0.0
C0000221,0.051993999630212784,0.015162168070673943,0.08342800289392471,0.01892097294330597,0.08065999299287796,0.033060986548662186,0.32712095975875854,0.06403470039367676,0.5967831611633301,0.18548345565795898,-0.5855156183242798,0.11433041095733643,0.4369102120399475,0.15641029179096222,0.5855141282081604,0.11433019489049911,0.0,0.0,1.0,0.0
C0000222,0.044755998998880386,0.010638123378157616,0.07612600177526474,0.011205637827515602,0.06322800368070602,0.024726156145334244,0.3511619567871094,0.05084827542304993,0.6878620386123657,0.14435313642024994,-0.6367558240890503,0.08485735952854156,0.5183299779891968,0.1314859837293625,0.6367543339729309,0.0848572626709938,0.0,0.0,0.5,0.5
C0000223,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000224,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000225,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000226,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000227,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000228,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
C0000229,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
